location,parameter,value,local_time,sensor_lat,sensor_lon
Boston - Roxbury,pm25,4.4,2023-08-31 19:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.6,2023-08-31 18:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.3,2023-08-31 17:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.4,2023-08-31 16:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.8,2023-08-31 15:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.9,2023-08-31 14:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.9,2023-08-31 13:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.1,2023-08-31 12:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.8,2023-08-31 11:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.6,2023-08-31 10:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.6,2023-08-31 09:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.4,2023-08-31 08:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.9,2023-08-31 07:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.8,2023-08-31 06:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.6,2023-08-31 05:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.0,2023-08-31 04:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.4,2023-08-31 03:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.3,2023-08-31 02:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.2,2023-08-31 01:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.8,2023-08-31 00:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.2,2023-08-30 23:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.7,2023-08-30 22:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.9,2023-08-30 21:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,7.9,2023-08-30 20:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,8.4,2023-08-30 19:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,7.5,2023-08-30 18:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.0,2023-08-30 17:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.1,2023-08-30 16:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.9,2023-08-30 15:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.7,2023-08-30 14:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.6,2023-08-30 13:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.5,2023-08-30 12:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.4,2023-08-30 11:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,1.7,2023-08-30 10:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.1,2023-08-30 09:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.9,2023-08-30 08:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.0,2023-08-30 07:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.4,2023-08-30 06:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.9,2023-08-30 05:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.1,2023-08-30 04:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.1,2023-08-30 03:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.5,2023-08-30 02:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.4,2023-08-30 01:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.7,2023-08-30 00:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.0,2023-08-29 23:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.5,2023-08-29 22:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.3,2023-08-29 21:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.1,2023-08-29 20:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.4,2023-08-29 19:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.9,2023-08-29 18:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.8,2023-08-29 17:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.7,2023-08-29 16:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.7,2023-08-29 15:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.2,2023-08-29 14:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.3,2023-08-29 13:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.3,2023-08-29 12:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.6,2023-08-29 11:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.0,2023-08-29 10:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.9,2023-08-29 09:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.9,2023-08-29 08:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.4,2023-08-29 07:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.4,2023-08-29 06:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.1,2023-08-29 05:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.8,2023-08-29 04:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.5,2023-08-29 03:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.4,2023-08-29 02:00:00-04:00,42.329399,-71.082497
