,12-15,12-16,12-17,12-18,12-19,12-20,12-21,12-22,12-23,12-24,12-25,12-26,12-27,12-28,12-29,12-30,12-31,01-01,01-02,01-03,01-04,01-05,01-06,01-07,01-08,01-09,01-10,01-11,01-12,01-13,01-14,01-15,01-16,01-17,01-18,01-19,01-20,01-21
2008,-19.0,-8.0,14.0,5.0,14.0,4.0,0.0,1.0,10.0,14.0,12.0,14.0,11.0,31.0,29.0,21.0,18.0,36.0,32.0,16.0,10.0,7.0,24.0,27.0,30.0,19.0,20.0,18.0,13.0,15.0,25.0,23.0,31.0,24.0,31.0,33.0,30.0,41.0
2009,21.0,30.0,23.0,17.0,14.0,19.0,32.0,28.0,13.0,2.0,-1.0,20.0,4.0,5.0,16.0,11.0,8.0,12.0,16.0,16.0,11.0,19.0,-6.0,-16.0,-11.0,10.0,21.0,21.0,20.0,30.0,25.0,23.0,26.0,29.0,28.0,26.0,23.0,19.0
2010,24.0,15.0,17.0,11.0,15.0,23.0,18.0,13.0,18.0,18.0,17.0,18.0,16.0,23.0,26.0,3.0,0.0,2.0,13.0,7.0,7.0,20.0,24.0,25.0,19.0,12.0,-3.0,-3.0,-5.0,25.0,27.0,29.0,25.0,38.0,28.0,12.0,6.0,24.0
2011,18.0,19.0,18.0,25.0,24.0,19.0,20.0,3.0,9.0,11.0,19.0,18.0,15.0,26.0,34.0,31.0,20.0,18.0,20.0,27.0,23.0,40.0,24.0,23.0,17.0,24.0,32.0,-6.0,-5.0,22.0,19.0,35.0,14.0,2.0,12.0,32.0,30.0,30.0
2012,25.0,23.0,22.0,23.0,7.0,9.0,26.0,29.0,26.0,16.0,0.0,-2.0,6.0,9.0,5.0,11.0,10.0,5.0,14.0,12.0,15.0,16.0,13.0,24.0,26.0,22.0,25.0,0.0,-12.0,-10.0,-8.0,-8.0,23.0,21.0,29.0,25.0,15.0,17.0
2013,,,,,,,,,,,,,,,,,30.0,13.0,11.0,25.0,6.0,-10.0,-8.0,22.0,18.0,17.0,22.0,19.0,25.0,24.0,17.0,19.0,24.0,20.0,27.0,35.0,22.0,25.0
2014,17.0,13.0,19.0,22.0,22.0,21.0,24.0,25.0,19.0,16.0,19.0,8.0,5.0,6.0,1.0,-19.0,-13.0,5.0,11.0,-5.0,-10.0,-5.0,20.0,14.0,19.0,15.0,22.0,27.0,22.0,22.0,19.0,23.0,30.0,35.0,37.0,31.0,26.0,16.0
2015,12.0,11.0,0.0,11.0,24.0,26.0,24.0,27.0,21.0,15.0,15.0,3.0,3.0,0.0,5.0,2.0,4.0,6.0,16.0,15.0,18.0,23.0,19.0,28.0,18.0,6.0,5.0,12.0,19.0,22.0,28.0,19.0,11.0,12.0,22.0,26.0,25.0,21.0
2016,12.0,4.0,-15.0,-10.0,4.0,30.0,26.0,24.0,24.0,24.0,20.0,16.0,13.0,18.0,17.0,35.0,13.0,16.0,15.0,10.0,4.0,-2.0,-7.0,2.0,12.0,31.0,32.0,21.0,18.0,18.0,22.0,22.0,27.0,17.0,21.0,22.0,26.0,19.0
2017,22.0,28.0,22.0,18.0,21.0,29.0,4.0,6.0,7.0,-4.0,2.0,4.0,1.0,25.0,9.0,8.0,4.0,3.0,11.0,17.0,23.0,25.0,26.0,26.0,24.0,34.0,24.0,21.0,24.0,19.0,21.0,-3.0,-4.0,15.0,28.0,35.0,27.0,23.0
2018,28.0,25.0,26.0,25.0,28.0,19.0,24.0,15.0,11.0,20.0,20.0,19.0,13.0,9.0,5.0,27.0,0.0,-5.0,2.0,16.0,30.0,33.0,30.0,16.0,22.0,23.0,28.0,32.0,17.0,17.0,20.0,21.0,29.0,32.0,23.0,22.0,33.0,22.0
2019,17.0,16.0,15.0,27.0,20.0,17.0,29.0,36.0,37.0,33.0,23.0,17.0,20.0,20.0,3.0,3.0,18.0,24.0,27.0,19.0,28.0,23.0,23.0,27.0,28.0,24.0,9.0,7.0,20.0,15.0,19.0,15.0,18.0,19.0,12.0,11.0,18.0,30.0
2020,8.0,18.0,21.0,18.0,16.0,17.0,34.0,28.0,13.0,19.0,31.0,29.0,26.0,25.0,15.0,7.0,19.0,22.0,23.0,23.0,26.0,28.0,20.0,20.0,19.0,24.0,19.0,17.0,17.0,37.0,24.0,16.0,24.0,26.0,22.0,21.0,22.0,26.0
2021,19.0,16.0,11.0,4.0,27.0,25.0,23.0,29.0,32.0,29.0,26.0,19.0,10.0,15.0,11.0,15.0,9.0,-9.0,7.0,22.0,18.0,1.0,-2.0,18.0,24.0,19.0,24.0,30.0,30.0,34.0,24.0,18.0,22.0,24.0,24.0,17.0,16.0,16.0
