TMAX,TMIN,TAVG
2.0,-19.0,-8.5
34.0,-8.0,13.0
37.0,14.0,25.5
28.0,5.0,16.5
44.0,14.0,29.0
27.0,4.0,15.5
19.0,0.0,9.5
29.0,1.0,15.0
28.0,10.0,19.0
40.0,14.0,27.0
48.0,12.0,30.0
46.0,14.0,30.0
34.0,11.0,22.5
52.0,31.0,41.5
58.0,29.0,43.5
58.0,21.0,39.5
53.0,18.0,35.5
54.0,36.0,45.0
63.0,32.0,47.5
45.0,16.0,30.5
24.0,10.0,17.0
47.0,7.0,27.0
42.0,24.0,33.0
55.0,27.0,41.0
63.0,30.0,46.5
44.0,19.0,31.5
44.0,20.0,32.0
47.0,18.0,32.5
39.0,13.0,26.0
48.0,15.0,31.5
45.0,25.0,35.0
47.0,23.0,35.0
61.0,31.0,46.0
57.0,24.0,40.5
62.0,31.0,46.5
64.0,33.0,48.5
67.0,30.0,48.5
71.0,41.0,56.0
54.0,21.0,37.5
55.0,30.0,42.5
54.0,23.0,38.5
43.0,17.0,30.0
51.0,14.0,32.5
57.0,19.0,38.0
59.0,32.0,45.5
44.0,28.0,36.0
27.0,13.0,20.0
22.0,2.0,12.0
24.0,-1.0,11.5
30.0,20.0,25.0
26.0,4.0,15.0
30.0,5.0,17.5
32.0,16.0,24.0
31.0,11.0,21.0
36.0,8.0,22.0
40.0,12.0,26.0
40.0,16.0,28.0
36.0,16.0,26.0
36.0,11.0,23.5
47.0,19.0,33.0
42.0,-6.0,18.0
13.0,-16.0,-1.5
33.0,-11.0,11.0
40.0,10.0,25.0
43.0,21.0,32.0
47.0,21.0,34.0
56.0,20.0,38.0
56.0,30.0,43.0
43.0,25.0,34.0
46.0,23.0,34.5
58.0,26.0,42.0
54.0,29.0,41.5
53.0,28.0,40.5
43.0,26.0,34.5
35.0,23.0,29.0
44.0,19.0,31.5
53.0,24.0,38.5
37.0,15.0,26.0
32.0,17.0,24.5
40.0,11.0,25.5
61.0,15.0,38.0
50.0,23.0,36.5
37.0,18.0,27.5
42.0,13.0,27.5
50.0,18.0,34.0
45.0,18.0,31.5
52.0,17.0,34.5
51.0,18.0,34.5
47.0,16.0,31.5
49.0,23.0,36.0
55.0,26.0,40.5
37.0,3.0,20.0
9.0,0.0,4.5
19.0,2.0,10.5
37.0,13.0,25.0
29.0,7.0,18.0
38.0,7.0,22.5
43.0,20.0,31.5
54.0,24.0,39.0
40.0,25.0,32.5
51.0,19.0,35.0
37.0,12.0,24.5
12.0,-3.0,4.5
13.0,-3.0,5.0
32.0,-5.0,13.5
49.0,25.0,37.0
51.0,27.0,39.0
47.0,29.0,38.0
51.0,25.0,38.0
57.0,38.0,47.5
50.0,28.0,39.0
41.0,12.0,26.5
39.0,6.0,22.5
45.0,24.0,34.5
42.0,18.0,30.0
35.0,19.0,27.0
40.0,18.0,29.0
58.0,25.0,41.5
